Date,Open,High,Low,Close,Adj Close,Volume
2017-11-07,114441.898438,114665.500000,112271.898438,112271.898438,112271.898438,1194333600
2017-11-08,112848.203125,113018.101563,110758.703125,111894.500000,111894.500000,1315109800
2017-11-09,112210.296875,112498.398438,109919.500000,110246.500000,110246.500000,1124600500
2017-11-10,110473.101563,110662.000000,108712.601563,108949.398438,108949.398438,945907900
2017-11-13,109638.101563,109888.796875,108011.000000,108859.601563,108859.601563,978723400
2017-11-14,108952.203125,110686.500000,108160.398438,110148.500000,110148.500000,1084311100
2017-11-15,109997.703125,110705.296875,107710.296875,107716.500000,107716.500000,1125682300
2017-11-16,108028.796875,108928.203125,106815.203125,106976.703125,106976.703125,1024369600
2017-11-17,107468.500000,107686.296875,105624.296875,106239.500000,106239.500000,918567100
2017-11-20,106399.296875,106399.296875,103600.601563,103911.898438,103911.898438,930308700
2017-11-21,103146.203125,105440.398438,103016.500000,105267.796875,105267.796875,1046469500
2017-11-22,105356.703125,106145.101563,103677.398438,105963.601563,105963.601563,1089331000
2017-11-23,106381.601563,106946.898438,104657.296875,105026.101563,105026.101563,877580000
2017-11-24,104720.796875,105290.601563,104304.898438,104539.398438,104539.398438,719716500
2017-11-27,104787.398438,105558.203125,104066.898438,104759.703125,104759.703125,909069600
2017-11-28,104687.203125,106180.703125,102068.000000,102068.000000,102068.000000,1076869900
2017-11-29,102291.500000,103089.601563,101490.703125,102341.796875,102341.796875,865366100
2017-11-30,102995.101563,104260.601563,102590.898438,103984.398438,103984.398438,1047159600
2017-12-01,103911.398438,104209.601563,103095.101563,103559.000000,103559.000000,717974300
2017-12-04,103350.601563,105274.898438,103350.601563,105214.898438,105214.898438,749801300
2017-12-05,105889.000000,106766.000000,105220.601563,106260.000000,106260.000000,1029905900
2017-12-06,106431.796875,106725.203125,105078.703125,105303.898438,105303.898438,859150800
2017-12-07,105580.703125,106786.101563,105160.203125,106447.500000,106447.500000,768762200
2017-12-08,106819.101563,108182.203125,106625.296875,107921.296875,107921.296875,893373400
2017-12-11,108788.500000,109341.703125,108457.601563,109156.500000,109156.500000,911660700
2017-12-12,109084.796875,109463.703125,108266.703125,109049.500000,109049.500000,889567200
2017-12-13,109281.101563,109592.601563,107851.703125,108153.203125,108153.203125,871927100
2017-12-14,108971.000000,109958.500000,108045.500000,109666.398438,109666.398438,1058906900
2017-12-15,109578.398438,110050.703125,108927.296875,109330.203125,109330.203125,823663400
2017-12-18,109812.296875,110836.601563,109786.398438,110247.898438,110247.898438,889804100
2017-12-19,110489.101563,111167.398438,110177.101563,110177.101563,110177.101563,1108678000
2017-12-20,110233.703125,110785.703125,109628.296875,110454.703125,110454.703125,1044031200
2017-12-21,110805.000000,111861.500000,110785.000000,111272.000000,111272.000000,1039885000
2017-12-22,111893.898438,112156.703125,111005.796875,111099.500000,111099.500000,818153100
2017-12-25,null,null,null,null,null,null
2017-12-26,112130.601563,112261.101563,111664.796875,112006.703125,112006.703125,742964500
2017-12-27,111862.203125,112226.101563,111445.898438,112149.703125,112149.703125,756582200
2017-12-28,112514.101563,114542.398438,112514.101563,114480.500000,114480.500000,886724900
2017-12-29,114708.398438,115840.203125,114378.296875,115333.000000,115333.000000,818937000
2018-01-01,null,null,null,null,null,null
2018-01-02,115734.500000,117724.203125,115626.101563,117524.203125,117524.203125,1539328200
2018-01-03,117739.000000,118395.101563,115780.203125,116052.203125,116052.203125,1735408300
2018-01-04,116068.601563,117258.898438,115152.296875,115491.203125,115491.203125,1402444900
2018-01-05,116159.101563,117184.500000,115950.703125,116637.898438,116637.898438,1087533300
2018-01-08,117514.296875,117783.703125,116228.601563,116304.500000,116304.500000,1054408800
2018-01-09,116311.398438,116647.203125,114942.101563,115022.796875,115022.796875,1161260600
2018-01-10,114812.296875,114856.601563,112884.398438,113589.500000,113589.500000,1243230200
2018-01-11,114329.398438,114718.796875,113057.601563,114718.796875,114718.796875,1329367200
2018-01-12,115062.796875,115718.703125,114561.601563,114644.601563,114644.601563,1169398600
2018-01-15,114286.296875,115452.898438,112159.203125,112159.203125,112159.203125,1481996000
2018-01-16,111708.398438,114475.500000,111107.398438,114418.398438,114418.398438,1669535700
2018-01-17,114429.601563,116630.203125,113705.796875,116592.500000,116592.500000,1458107700
2018-01-18,117145.898438,117758.898438,116157.101563,116856.000000,116856.000000,1258811300
2018-01-19,116724.101563,117064.601563,114926.101563,115147.101563,115147.101563,1426100800
2018-01-22,115639.203125,117246.203125,115288.796875,117235.500000,117235.500000,1200658000
2018-01-23,117843.601563,118955.796875,117495.296875,118400.101563,118400.101563,1337696300
2018-01-24,118477.296875,119673.000000,118148.500000,119648.398438,119648.398438,1361461500
2018-01-25,119677.101563,120320.500000,118587.296875,118604.101563,118604.101563,1285743500
2018-01-26,118947.101563,120701.898438,118872.000000,120701.898438,120701.898438,1225112600
2018-01-29,121341.203125,121531.500000,119398.000000,120845.296875,120845.296875,1211567400
2018-01-30,120214.101563,120948.601563,119303.101563,119303.101563,119303.101563,1302038700
2018-01-31,119671.601563,120361.101563,119235.703125,119528.796875,119528.796875,1107528200
2018-02-01,120016.000000,120894.000000,118659.398438,119044.398438,119044.398438,1093342100
2018-02-02,119334.500000,119585.203125,117792.703125,118119.398438,118119.398438,825694600
2018-02-05,117724.601563,118121.203125,116587.703125,116852.703125,116852.703125,909660000
2018-02-06,114296.703125,115892.796875,113875.703125,115457.296875,115457.296875,1241984700
2018-02-07,116252.000000,116515.703125,115392.101563,115570.203125,115570.203125,1182301700
2018-02-08,115874.898438,116055.203125,113891.796875,114263.500000,114263.500000,1095661200
2018-02-09,113146.101563,114212.203125,112503.796875,113590.296875,113590.296875,919103300
2018-02-12,114593.101563,115415.500000,114524.203125,114821.601563,114821.601563,821446200
2018-02-13,115317.796875,115670.101563,114430.601563,114494.500000,114494.500000,821566200
2018-02-14,115328.898438,115606.601563,113248.796875,113455.000000,113455.000000,858319100
2018-02-15,114641.703125,116298.601563,114641.703125,116225.601563,116225.601563,951286900
2018-02-16,116822.898438,117517.601563,115960.398438,116511.000000,116511.000000,948167300
2018-02-19,117074.703125,117522.000000,115457.398438,115882.000000,115882.000000,935783500
2018-02-20,116287.000000,116926.796875,113268.000000,113432.898438,113432.898438,1082579800
2018-02-21,115021.101563,116316.000000,114748.601563,116316.000000,116316.000000,891030700
2018-02-22,116138.101563,116993.500000,115408.500000,116840.898438,116840.898438,889441500
2018-02-23,117439.703125,117854.203125,117033.898438,117521.500000,117521.500000,743638500
2018-02-26,118294.703125,118912.500000,118221.000000,118791.898438,118791.898438,893545700
2018-02-27,119033.796875,119216.796875,118460.398438,118831.601563,118831.601563,927832600
2018-02-28,118428.101563,119245.296875,118314.296875,118950.796875,118950.796875,945110600
2018-03-01,118629.703125,119114.500000,117398.703125,117632.101563,117632.101563,1065467900
2018-03-02,117323.000000,117590.296875,116265.203125,116859.203125,116859.203125,814805400
2018-03-05,117033.000000,117530.898438,116591.898438,116946.203125,116946.203125,717460000
2018-03-06,117573.898438,117720.203125,116668.796875,116709.898438,116709.898438,966462600
2018-03-07,116330.796875,116989.398438,115929.703125,116842.398438,116842.398438,812652900
2018-03-08,116962.296875,117395.500000,116520.101563,116567.101563,116567.101563,698275900
2018-03-09,116927.296875,117240.101563,116495.398438,116914.500000,116914.500000,820722500
2018-03-12,117704.000000,118787.101563,117704.000000,118411.398438,118411.398438,996605200
2018-03-13,118527.796875,118610.898438,117668.703125,118266.898438,118266.898438,1018267100
2018-03-14,118322.000000,118978.203125,117408.601563,117592.703125,117592.703125,959221300
2018-03-15,117978.500000,118149.296875,117030.898438,117201.500000,117201.500000,994721200
2018-03-16,117611.296875,117853.101563,116829.398438,117216.296875,117216.296875,880409200
2018-03-19,117175.203125,117207.898438,115391.101563,115450.296875,115450.296875,765203800
2018-03-20,116033.296875,116727.500000,115082.898438,116431.796875,116431.796875,905841000
2018-03-21,116613.296875,117795.101563,116481.101563,117651.296875,117651.296875,1275610400
2018-03-22,118375.203125,118589.703125,117072.000000,117110.296875,117110.296875,1261207500
2018-03-23,115914.296875,116871.398438,115559.500000,116602.796875,116602.796875,1531450400
2018-03-26,117125.898438,117549.703125,116349.203125,116420.296875,116420.296875,1761205400
2018-03-27,117599.203125,117787.796875,116196.500000,116196.500000,116196.500000,1506734400
2018-03-28,115687.203125,116024.703125,113858.703125,114129.296875,114129.296875,1394481100
2018-03-29,113809.500000,115084.101563,113426.203125,114844.601563,114844.601563,1000693800
2018-03-30,115534.398438,115872.296875,114695.703125,114930.203125,114930.203125,900037100
2018-04-02,115216.601563,115390.500000,114442.101563,114442.101563,114442.101563,660507800
2018-04-03,114290.398438,114924.296875,114019.601563,114594.101563,114594.101563,943622500
2018-04-04,114812.296875,114893.898438,113281.898438,113975.601563,113975.601563,1037994700
2018-04-05,114303.000000,115318.898438,114032.101563,114947.601563,114947.601563,1323038100
2018-04-06,114645.703125,115279.398438,114284.703125,114737.500000,114737.500000,911697300
2018-04-09,115425.601563,115465.000000,112510.898438,113156.101563,113156.101563,1075972800
2018-04-10,113475.601563,113524.601563,110007.796875,110712.703125,110712.703125,1382441100
2018-04-11,110293.898438,111534.703125,106624.101563,109253.203125,109253.203125,1430535600
2018-04-12,109211.500000,110354.703125,108305.101563,110235.398438,110235.398438,1126424000
2018-04-13,110715.296875,110792.796875,108981.101563,109604.000000,109604.000000,843799800
2018-04-16,109860.898438,111115.796875,109850.796875,110687.703125,110687.703125,930465400
2018-04-17,111451.898438,111621.000000,108001.101563,108744.796875,108744.796875,1475421900
2018-04-18,108618.296875,112099.000000,107439.101563,112099.000000,112099.000000,1499424400
2018-04-19,112111.601563,112406.601563,111597.398438,112122.203125,112122.203125,1093128000
2018-04-20,111956.703125,111973.296875,110678.000000,110932.500000,110932.500000,940669200
2018-04-23,null,null,null,null,null,null
2018-04-24,110630.398438,110851.296875,109787.500000,110058.601563,110058.601563,856852900
2018-04-25,110376.203125,110520.500000,106760.703125,107401.398438,107401.398438,1156953000
2018-04-26,107892.398438,108224.898438,106278.000000,107015.101563,107015.101563,887814000
2018-04-27,107228.703125,108199.500000,106670.000000,107614.296875,107614.296875,895868800
2018-04-30,107940.203125,108170.796875,103750.500000,104282.796875,104282.796875,897658700
2018-05-01,null,null,null,null,null,null
2018-05-02,104815.398438,105332.296875,102934.398438,104725.703125,104725.703125,1100346400
2018-05-03,104735.000000,104915.203125,102629.703125,102909.101563,102909.101563,1073686200
2018-05-04,102794.203125,103425.703125,101548.601563,102599.203125,102599.203125,1106275700
2018-05-07,102575.203125,102759.796875,100599.101563,100866.203125,100866.203125,788926900
2018-05-08,101354.703125,101536.601563,98904.101563,99363.796875,99363.796875,1139809200
2018-05-09,98727.203125,101647.296875,97849.203125,100780.601563,100780.601563,1219944500
2018-05-10,101236.796875,102380.703125,99318.203125,102380.703125,102380.703125,1062890900
2018-05-11,102468.000000,102877.398438,101233.000000,101852.500000,101852.500000,913757400
2018-05-14,101738.203125,103763.000000,101564.601563,103370.398438,103370.398438,829217800
2018-05-15,102264.898438,103026.703125,101221.101563,101540.398438,101540.398438,1022770900
2018-05-16,101612.000000,102794.703125,100654.796875,102157.898438,102157.898438,1015850800
2018-05-17,102611.101563,102713.898438,101561.101563,101869.398438,101869.398438,904767700
2018-05-18,102033.203125,102884.703125,101886.898438,102410.296875,102410.296875,760409700
2018-05-21,102166.500000,103317.898438,101893.101563,102257.703125,102257.703125,787503300
2018-05-22,102718.000000,103769.796875,102262.296875,103327.703125,103327.703125,998249000
